Month,DATE,MILLER NAME,AREA,BRAND,BUYER NAME,NO OF DAYS,NO OF DAY REC,BILL NO,QTLS,Rate,Amount,L.H.,C.C,,TDS,Shortage,SELLER,Diff. in,Net Amt.,chq am,Ch/DD No.,CHQ DT,bank,PLACE,   BUYER NAME,? , ,BUYER NAME 
APRIL-2026,2026-04-04,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,6TH,K.K,VENKATESHWARA TRADERS 6TH,"=IF(U41>0,""Cleared"", (TODAY()-A41&""  DAYS PENDING""))","=IF(U41>0,W41-A41 & "" days"", ""PAYMENT NOT RECD"")",3858,75,7500,=J41*K41,=210*75,=L41*4%,,,,,=T41-U41,=J41*K41-M41-N41-Q41+O41+P41,524250,6523,2026-04-17,,,,,,
APRIL-2026,2026-04-04,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,4TH,K.K,RAGHU TRADING CO,"=IF(U42>0,""Cleared"", (TODAY()-A42&""  DAYS PENDING""))","=IF(U42>0,W42-A42 & "" days"", ""PAYMENT NOT RECD"")",3859,20.1,7500,=J42*K42,=210*20.1,=L42*4%,,,,,=T42-U42,=J42*K42-M42-N42-Q42+O42+P42,140500,821656,2026-04-15,,,,,,
APRIL-2026,2026-04-04,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,MGB,K.K,MAMAJI & CO,"=IF(U43>0,""Cleared"", (TODAY()-A43&""  DAYS PENDING""))","=IF(U43>0,W43-A43 & "" days"", ""PAYMENT NOT RECD"")",3860,60,7500,=J43*K43,=210*60,=L43*3%,,,,,=T43-U43,=J43*K43-M43-N43-Q43+O43+P43,419400,rtgs,2026-04-27,,,,,,
APRIL-2026,2026-04-04,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,4TH,K.K,P.V.N ENTERPRISES,"=IF(U44>0,""Cleared"", (TODAY()-A44&""  DAYS PENDING""))","=IF(U44>0,W44-A44 & "" days"", ""PAYMENT NOT RECD"")",3861,45,7500,=J44*K44,=210*45,=L44*4%,,,,,=T44-U44,=J44*K44-M44-N44-Q44+O44+P44,314500,700876,2026-04-20,,,,,,
APRIL-2026,2026-04-04,SAI TEJA PARBOILED RICE MILLS (P) LTD,4TH,HMT ST,PLATINUM TRADERS,"=IF(U45>0,""Cleared"", (TODAY()-A45&""  DAYS PENDING""))","=IF(U45>0,W45-A45 & "" days"", ""PAYMENT NOT RECD"")",2,41.08,=5495+205,=J45*K45,=205*41.08,=L45*3%,,,,,=T45-U45,=J45*K45-M45-N45-Q45+O45+P45,218709,rtgs,2026-05-13,,,,,,
APRIL-2026,2026-04-04,SAI TEJA PARBOILED RICE MILLS (P) LTD,4TH,HMT ST,PLATINUM TRADERS,"=IF(U46>0,""Cleared"", (TODAY()-A46&""  DAYS PENDING""))","=IF(U46>0,W46-A46 & "" days"", ""PAYMENT NOT RECD"")",1,120.12,=5495+205,=J46*K46,=205*120.12,=L46*3%,,,,,=T46-U46,=J46*K46-M46-N46-Q46+O46+P46,639518,rtgs,2026-05-13,,,,,,
APRIL-2026,2026-04-04,MAHENDRA RICE INDUSTRY,NAGAWARA,KOLAM RAW,SALEEM TRADERS,"=IF(U47>0,""Cleared"", (TODAY()-A47&""  DAYS PENDING""))","=IF(U47>0,W47-A47 & "" days"", ""PAYMENT NOT RECD"")",29,310.18,=6950+200,=J47*K47,=200*310.18,=L47*4%,,,,,=T47-U47,=J47*K47-M47-N47-Q47+O47+P47,2067039,RTGS,2026-04-15,,,,,,
APRIL-2026,2026-04-04,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,6TH,K.K,BHAGYALAKSHMI COMMERICAL CORPORATION,"=IF(U48>0,""Cleared"", (TODAY()-A48&""  DAYS PENDING""))","=IF(U48>0,W48-A48 & "" days"", ""PAYMENT NOT RECD"")",3871,355.5,7271,=J48*K48,=300*355.5,=L48*4%,,,,,=T48-U48,=J48*K48-M48-N48-Q48+O48+P48,2374796,rtgs,2026-04-21,,,,,,
APRIL-2026,2026-04-06,VAISHNAVI FOOD PRODUCTS PVT LTD,MGB,KOLAM RAW,HIRA TRADERS,"=IF(U49>0,""Cleared"", (TODAY()-A49&""  DAYS PENDING""))","=IF(U49>0,W49-A49 & "" days"", ""PAYMENT NOT RECD"")",50,260,=6800+200,=J49*K49,=200*260,=L49*4%,,,,,=T49-U49,=J49*K49-M49-N49-Q49+O49+P49,1695200,RTGS,,,,,,,
APRIL-2026,2026-04-06,VAISHNAVI FOOD PRODUCTS PVT LTD,BDA,KOLAM RAW,SAI RAM TRADING CO,"=IF(U50>0,""Cleared"", (TODAY()-A50&""  DAYS PENDING""))","=IF(U50>0,W50-A50 & "" days"", ""PAYMENT NOT RECD"")",51,91,=6900+200,=J50*K50,=200*91,=L50*4%,,,,,=T50-U50,=J50*K50-M50-N50-Q50+O50+P50,602056,rtgs,2026-04-29,,,,,,
